id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,trade_fee,exchange_trade_id
158,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589799442978,buy://ETHTUSD/2df0d242d03ea5e15dd1b0ac24,BUY,LIMIT,211.6591,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
159,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589799766961,buy://ETHTUSD/10e83a905b4edcce240eea54af,BUY,LIMIT,211.794,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
160,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589799906017,buy://ETHTUSD/7bbd02f0cd81f209e1f6f2bae2,BUY,LIMIT,212.0739,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
161,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589800016226,buy://ETHTUSD/e3c8a61eb79b476213ea778733,BUY,LIMIT,212.3588,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
162,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589800320476,buy://ETHTUSD/0088cb5bb852a0bf4c828263ed,BUY,LIMIT,212.3538,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
163,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589800468765,buy://ETHTUSD/41fdcd6e0827ba420ad0f1a3ee,BUY,LIMIT,212.0989,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
164,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589800827054,buy://ETHTUSD/18b1955073ebe87e532f1e2e30,BUY,LIMIT,212.0389,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
165,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589800926003,sell://ETHTUSD/e2d29a4407f2ff7418a8ec2f9f,SELL,LIMIT,212.111,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
166,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589801101381,buy://ETHTUSD/d4600c0df32b820f00ba169e99,BUY,LIMIT,211.984,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
167,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589801215947,buy://ETHTUSD/77481163fbaec9d84d77531c0f,BUY,LIMIT,211.824,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
168,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589801333337,buy://ETHTUSD/254ec109b0769369a260da8499,BUY,LIMIT,211.5792,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
169,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589801479663,buy://ETHTUSD/9c7fee563f343702a79ef5facf,BUY,LIMIT,211.879,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
170,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589802302288,buy://ETHTUSD/428edb171e60a86ca74f8935af,BUY,LIMIT,211.884,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
171,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589802467048,buy://ETHTUSD/7ca0519508709abeb89678385e,BUY,LIMIT,211.7741,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
172,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589802879160,buy://ETHTUSD/00ce61011e192f9ab4d904797e,BUY,LIMIT,212.0039,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
173,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589803142239,buy://ETHTUSD/61e345ed5842e3b482efd77aaa,BUY,LIMIT,211.959,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
174,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589803228682,buy://ETHTUSD/649c0cd741f900b433768d1755,BUY,LIMIT,211.884,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
175,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589803335001,sell://ETHTUSD/7d820bb385f4b3c3ce9ba2539d,SELL,LIMIT,211.9309,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
176,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589803520010,buy://ETHTUSD/d08d4a5f6b1572122f1a33fa1b,BUY,LIMIT,211.5492,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
177,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589803594147,buy://ETHTUSD/2cdd410fa53b7502de99b6b62d,BUY,LIMIT,211.4242,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
